C:\Users\Sourav\AppData\Local\Programs\Python\Python35\python.exe C:/Users/Sourav/PycharmProjects/Vehicleloader/FetchingandLoading/Fetching.py
['AN-01']  Andaman district
['AN-02']  Nicobar district
['AP-02']  Anantapur district
['AP-03']  Chittoor district
['AP-04']  YSR Kadapa district
['AP-05']  East Godavari district
['AP-07']  Guntur district
['AP-16']  Krishna district
['AP-18']  Krishna district
['AP-21']  Kurnool district
['AP-26']  Nellore district
['AP-27']  Prakasam district
['AP-30']  Srikakulam district
['AP-31', 'AP-32', 'AP-33', 'AP-34']  Visakhapatnam district
['AP-37']  West Godavari district
['AP-01']  Adilabad District
['AP-09']  Hyderabad Central
['AP-10']  Hyderabad North
['AP-11']  Hyderabad East
['AP-12']  Hyderabad West
['AP-13']  Hyderabad South
['AP-15']  Karimnagar District
['AP-20']  Khammam District
['AP-22']  Mahbubnagar District
['AP-23']  Medak District
['AP-24']  Nalgonda District
['AP-25']  Nizamabad District
['AP-28']  Rangareddy District
['AP-29']  Medchal-Malkajgiri District
['AP-36']  Warangal District
['AP XX A 1234 to AP XX SZ 1234']  The letters A to S are reserved to passenger vehicles.
['AP-18-Px : AP 18 P 1234', 'AP 18 PB 1234']  AP-18-P of Vijayawada is specifically used for state police vehicles.
['AP XX T 1234 to AP XX YZ 1234']  The letters T, U, V, W, X, Y are reserved for commercial vehicles.
['AP-xx-Z : AP XX Z 1234 to AP XX ZZ 1234']  The letter Z is reserved for the State Road Transport (APSRTC) buses.
['AR-01', 'AR-02']  Papum Pare district
['AR-03']  Tawang district
['AR-04']  West Kameng district
['AR-05']  East Kameng district
['AR-06']  Lower Subansiri district
['AR-07']  Upper Subansiri district
['AR-08']  West Siang district
['AR-09']  East Siang district
['AR-10']  Dibang Valley district
['AR-11']  Lohit district
['AR-12']  Changlang district
['AR-13']  Tirap district
['AR-14']  Upper Siang district
['AR-15']  Kurung Kumey district
['AR-16']  Dibang Valley district
['AR-17']  Anjaw district
['AR-20']  Namsai district
['BR-01']  Patna district
['BR-02']  Gaya district
['BR-03']  Bhojpur district
['BR-04']  Saran district
['BR-05']  East Champaran district
['BR-06']  Muzaffarpur district
['BR-07']  Darbhanga district
['BR-08']  Munger district
['BR-09']  Begusarai district
['BR-10']  Bhagalpur district
['BR-11']  Purnia district
['BR-13']  NA
['BR-14']  NA
['BR-15']  NA
['BR-16']  NA
['BR-17']  NA
['BR-18']  NA
['BR-19']  Saharsa district
['BR-20']  NA
['BR-21']  Nalanda district
['BR-22']  West Champaran district
['BR-23']  NA
['BR-24']  Rohtas district
['BR-25']  Jehanabad district
['BR-26']  Aurangabad district
['BR-27']  Nawada district
['BR-28']  Gopalganj district
['BR-29']  Siwan district
['BR-30']  Sitamarhi district
['BR-31']  Vaishali district
['BR-32']  Madhubani district
['BR-33L 1352']  Samastipur district
['BR-34']  Khagaria district
['BR-35']  NA
['BR-36']  NA
['BR-37']  Kishanganj district
['BR-38']  Araria district
['BR-39']  Katihar district
['BR-40']  NA
['BR-41']  NA
['BR-42']  NA
['BR-43']  Madhepura district
['BR-44']  Buxar district
['BR-45']  Kaimur district
['BR-46']  Jamui district
['BR-47']  NA
['BR-50']  Supaul district
['BR-51']  Banka district
['BR-52']  Sheikhpura district
['BR-53']  Lakhisarai district
['BR-55']  Sheohar district
['BR-56']  Arwal district
['BR-57']  Rohtas district
['CG-01']  NA
['CG-02']  NA
['CG-03']  NA
['CG-04']  Raipur district
['CG-05']  Dhamtari district
['CG-06']  Mahasamund district
['CG-07']  Durg district
['CG-08']  Rajnandgaon district
['CG-09']  Kabirdham district
['CG-10']  Bilaspur district
['CG-11']  Janjgir–Champa district
['CG-12']  Korba district
['CG-13']  Raigarh district
['CG-14']  Jashpur district
['CG-15']  Surguja district
['CG-16']  Koriya district
['CG-17']  Bastar district
['CG-18']  Dantewada district
['CG-19']  Kanker district
['CG-20']  Bijapur district, Chhattisgarh
['CG-21']  Narayanpur district
['CG-22']  Baloda Bazar district
['CG-23']  Gariaband district
['CG-24']  Balod district
['CG-25']  Bemetara district
['CG-26']  Sukma district
['CG-27']  Kondagaon district
['CG-28']  Mungeli district
['CG-29']  Surajpur district
['CG-30']  Balrampur district
['CH-01', 'CH-02', 'CH-03', 'CH-04']  Chandigarh district
['DD-02']  Diu district
['DD-03']  Daman district
['DL-1']  North District:
Civil Lines, Pratap Bagh, Kotwali, Bela Road, Andha Mugal, Mori Gate, Majnu Ka Tila, Gulabi Bagh, Red Fort, Sant Nagar, Sarai Rohilla, Yamuna Bazar, Roop Nagar, Inder Lok, Lahori Gate, Maurice Nagar, Sadar Bazar, Church Mission, Shakti Nagar, Ahata Kedara, Town Hall, Subzi Mandi, Bara Hindu Rao, Nai Sarak, Tis Hazari, Kashmere Gate, Chandni Chowk

['DL-2']  New Delhi District:
Tilak Marg, R.M.L.Hospital, Chanakya Puri, Parliament St., Sucheta Kriplani Hospital, Tughlaq Road, Boat Club, Mandi House, North Avenue Panchkuian Road, Kali Bari Marg, South Avenue, Gole Market, Rabinder Nagar, Malcha Marg, Connaught Place, Kaka Nagar

['DL-3']  South District:
Hauz Khas, Amar Colony, C.R Park, Malviya Nagar, Garhi, Ambedkar Nagar, Saket, Okhla, Madangir,Pushp Vihar, Sunlight Colony, Sainik Farm, Mehrauli, New Friends Colony, Kalkaji, Defence Colony, Nehru Place, Gulmohar Park, Sukhdev Vihar, Badarpur, AIIMS, Bharat Nagar, Sarita Vihar, Lodhi Colony, Hz.Nizammudin, Sangam Vihar, Pragati Vihar, Jangpura, East Kidwai Nagar, Khan Pur, Sarai Kale Khan, Lajpat Nagar, Greater Kailash, Panchsheel

['DL-4']  West District I:
Janakpuri, Vikaspuri, Keshopur, TilakNagar, Uttam Nagar, Mohan Garden, Nawada, Kakrola, Paschim Vihar, Meera Bagh, New Multan Nagar, Nangloi, Tikri Border, Nilothi, Nangloi Jat, Mundka, Baprola, Hari Nagar, Ashok Nagar, Prem Nagar, Subhash Nagar

['DL-6']  Central District:
Daryaganj, Lalkuan, Prasha Nagar, Chandni Mahal, I.P. Estate, Rajender Nagar, Turkmangate, LNJP Hospital, Pusa Road, Jama Masjid, Pahar Ganj, Sita Ram Bazar, Kamla Market, DBG Road, Sangtrashan, Shahganj, Shidipura, Nabi Karim, Hauz Qazi, Govt. Qr. Devnagar, Ballimaran, Karol Bagh

['DL-7']  East District I:
KalyanPuri, Laxmi Nagar, PreetVihar, New Ashok Nagar, Patparganj, Shakarpur, Trilokpuri, Mayur Vihar-I&II, Karkardooma

['DL-8']  North West District I:
Model Town, Jahangirpuri, Sangam Park, Adarsh Nagar, Vijay Nagar, Keshav Puram, Ashok Vihar, Shalimar Bagh, Wazirpur, Saraswati Vihar, Kingsway Camp, Pitampura, Mukherjee Nagar, Rani Bagh, Azadpur, Rampura, Tri Nagar, Gujrawalan

['DL-9']  South West District I:
Inderpuri, Naraina, Mayapuri, Najafgarh, Kapashera, Zafarpur Kalan, Dwaraka, Vasant Vihar, R.K.Puram, Sarojini Nagar, Vasant Kunj, Delhi Cantt., Dabri

['DL-10']  West District II:
Anand Parbat, Moti Nagar, Patel Nagar, Punjabi Bagh, Kirti Nagar Rajouri Garden

['DL-11']  North West District II:
Sultanpuri, Mangolpuri, Samaypur Badli, Prasant Vihar, Auchandi Border, Bawana, Alipur, Rohini, Kanjhavala, Narela, Kirari, Aman Vihar, Mubarakpur, Qutab Garh, Jonti, Mungeshpur, Mukandpur, Khera Kalan

['DL-12']  South West District II:
Delhi Cantt.,Vasant Vihar,Vasant Kunj, Munirka, Sarojini Nagar, Nauroji Nagar, IIT, Green Park, Ghitorni, Mahipal Pur

['DL-13']  East District II:
Gazipur, GandhiNagar, Krishna Nagar, Anand Vihar, Old Seelampur, Mandawali, New Shahdara, Geeta Colony, VivekVihar, Jheel

['DL-14']  NA
['DL-15']  NA
['DL-16']  NA
['DL-17']  NA
['DL-18']  NA
['DL-30']  NA
['DL-1A', 'DL-2A', 'DL-3A', 'DL-4A', 'DL-5A', 'DL-6A', 'DL-7A', 'DL-8A', 'DL-9A', 'DL-10A', 'DL-11A', 'DL-12A', 'DL-13A', 'DL-14A', 'DL-15A', 'DL-16A', 'DL-17A', 'DL-18A']  The letter A is reserved to ambulances.
['DL-1C', 'DL-2C', 'DL-3C', 'DL-4C', 'DL-5C', 'DL-6C', 'DL-7C', 'DL-8C', 'DL-9C', 'DL-10C', 'DL-11C', 'DL-12C', 'DL-13C', 'DL-14C', 'DL-15C', 'DL-16C', 'DL-17C', 'DL-18C']  The letter C is reserved to cars.
['DL-1D', 'DL-2D', 'DL-3D', 'DL-4D', 'DL-5D', 'DL-6D', 'DL-7D', 'DL-8D', 'DL-9D', 'DL-10D', 'DL-11D', 'DL-12D', 'DL-13D', 'DL-14D', 'DL-15D', 'DL-16D', 'DL-17D', 'DL-18D']  The letter D is reserved to modified cars for disaabled.
['DL-1E', 'DL-2E', 'DL-3E', 'DL-4E', 'DL-5E', 'DL-6E', 'DL-7E', 'DL-8E', 'DL-9E', 'DL-10E', 'DL-11E', 'DL-12E', 'DL-13E', 'DL-14E', 'DL-15E', 'DL-16E', 'DL-17E', 'DL-18E']  The letter E is reserved to tractors.
['DL-1F', 'DL-2F', 'DL-3F', 'DL-4F', 'DL-5F', 'DL-6F', 'DL-7F', 'DL-8F', 'DL-9F', 'DL-10F', 'DL-11F', 'DL-12F', 'DL-13F', 'DL-14F', 'DL-15F', 'DL-16F', 'DL-17F', 'DL-18F']  The letter F is reserved to fancy numbers under special allocation.
['DL-1G', 'DL-2G', 'DL-3G', 'DL-4G', 'DL-5G', 'DL-6G', 'DL-7G', 'DL-8G', 'DL-9G', 'DL-10G', 'DL-11G', 'DL-12G', 'DL-13G', 'DL-14G', 'DL-15G', 'DL-16G', 'DL-17G', 'DL-18G']  The letter G is reserved to trucks.
['DL-1K', 'DL-2K', 'DL-3K', 'DL-4K', 'DL-5K', 'DL-6K', 'DL-7K', 'DL-8K', 'DL-9K', 'DL-10K', 'DL-11K', 'DL-12K', 'DL-13K', 'DL-14K', 'DL-15K', 'DL-16K', 'DL-17K', 'DL-18K']  The letter K is reserved to school vans.
['DL-1L', 'DL-2L', 'DL-3L', 'DL-4L', 'DL-5L', 'DL-6L', 'DL-7L', 'DL-8L', 'DL-9L', 'DL-10L', 'DL-11L', 'DL-12L', 'DL-13L', 'DL-14L', 'DL-15L', 'DL-16L', 'DL-17L', 'DL-18L']  The letter L is reserved to trucks.
['DL-1N', 'DL-2N', 'DL-3N', 'DL-4N', 'DL-5N', 'DL-6N', 'DL-7N', 'DL-8N', 'DL-9N', 'DL-10N', 'DL-11N', 'DL-12N', 'DL-13N', 'DL-14N', 'DL-15N', 'DL-16N', 'DL-17N', 'DL-18N']  The letter N is reserved to cars of non-resident Indians.
['DL-1P', 'DL-2P', 'DL-3P', 'DL-4P', 'DL-5P', 'DL-6P', 'DL-7P', 'DL-8P', 'DL-9P', 'DL-10P', 'DL-11P', 'DL-12P', 'DL-13P', 'DL-14P', 'DL-15P', 'DL-16P', 'DL-17P', 'DL-18P']  The letter P is reserved to commercial buses.
['DL-1Q', 'DL-2Q', 'DL-3Q', 'DL-4Q', 'DL-5Q', 'DL-6Q', 'DL-7Q', 'DL-8Q', 'DL-9Q', 'DL-10Q', 'DL-11Q', 'DL-12Q', 'DL-13Q', 'DL-14Q', 'DL-15Q', 'DL-16Q', 'DL-17Q', 'DL-18Q']  The letter Q is reserved to Phatphat Seva or para transit rural service vehicles.
['DL-1R', 'DL-2R', 'DL-3R', 'DL-4R', 'DL-5R', 'DL-6R', 'DL-7R', 'DL-8R', 'DL-9R', 'DL-10R', 'DL-11R', 'DL-12R', 'DL-13R', 'DL-14R', 'DL-15R', 'DL-16R', 'DL-17R', 'DL-18R']  The letter R is reserved to auto rickshaws and radio taxis.
['DL-1S', 'DL-2S', 'DL-3S', 'DL-4S', 'DL-5S', 'DL-6S', 'DL-7S', 'DL-8S', 'DL-9S', 'DL-10S', 'DL-11S', 'DL-12S', 'DL-13S', 'DL-14S', 'DL-15S', 'DL-16S', 'DL-17S', 'DL-18S']  The letter S is reserved to two wheelers.
['DL-1T', 'DL-2T', 'DL-3T', 'DL-4T', 'DL-5T', 'DL-6T', 'DL-7T', 'DL-8T', 'DL-9T', 'DL-10T', 'DL-11T', 'DL-12T', 'DL-13T', 'DL-14T', 'DL-15T', 'DL-16T', 'DL-17T', 'DL-18T']  The letter T is reserved to commercial taxis.
['DL-1V', 'DL-2V', 'DL-3V', 'DL-4V', 'DL-5V', 'DL-6V', 'DL-7V', 'DL-8V', 'DL-9V', 'DL-10V', 'DL-11V', 'DL-12V', 'DL-13V', 'DL-14V', 'DL-15V', 'DL-16V', 'DL-17V', 'DL-18V']  The letter V is reserved to Delhi Metro Rail Corporation feeder buses and commercial vans.
['DL-1W', 'DL-2W', 'DL-3W', 'DL-4W', 'DL-5W', 'DL-6W', 'DL-7W', 'DL-8W', 'DL-9W', 'DL-10W', 'DL-11W', 'DL-12W', 'DL-13W', 'DL-14W', 'DL-15W', 'DL-16W', 'DL-17W', 'DL-18W']  The letter W is reserved to para transit small vehicles under Metro feeder service.
['DL-1Y', 'DL-2Y', 'DL-3Y', 'DL-4Y', 'DL-5Y', 'DL-6Y', 'DL-7Y', 'DL-8Y', 'DL-9Y', 'DL-10Y', 'DL-11Y', 'DL-12Y', 'DL-13Y', 'DL-14Y', 'DL-15Y', 'DL-16Y', 'DL-17Y', 'DL-18Y']  The letter Y is reserved to commercial private taxis.
['DN-09']  Dadra & Nagar Haveli union territory
['GA-01']  North Goa district
['GA-02']  South Goa district
['GA-03']  Bardez taluka
['GA-04']  Bicholim taluka, Sattari taluka
['GA-05']  Ponda taluka
['GA-06']  Mormugao taluka
['GA-07']  Tiswadi taluka
['GA-08']  Salcette taluka
['GA-09']  Quepem taluka, Sanguem taluka
['GA-10']  Canacona taluka
['GA-11']  Pernem taluka
['GA-12']  Dharbandora taluka
['GJ-1']  parts of Ahmedabad district
['GJ-3']  Rajkot district
['GJ-4']  Bhavnagar district
['GJ-5']  parts of Surat district
['GJ-6']  parts of Vadodara district
['GJ-7']  Kheda district
['GJ-8']  Banaskantha district
['GJ-9']  Sabarkantha district
['GJ-10']  Jamnagar district
['GJ-11']  Junagadh district
['GJ-12']  parts of Kutch District
['GJ-13']  Surendranagar district
['GJ-14']  Amreli district
['GJ-15']  Valsad district
['GJ-16']  Bharuch district
['GJ-17']  Panchmahal district
['GJ-18']  Gandhinagar district
['GJ-19']  parts of Surat district
['GJ-20']  Dahod district
['GJ-21']  Navsari district
['GJ-22']  Narmada district
['GJ-23']  Anand district
['GJ-24']  Patan district
['GJ-25']  Porbandar district
['GJ-26']  Tapi district
['GJ-27']  parts of Ahmedabad district
['GJ-28']  parts of Surat district
['GJ-29']  parts of Vadodara district
['GJ-30']  Dang district
['GJ-32']  Gir Somnath district
['GJ-33']  Botad district
['GJ-34']  Chhota Udaipur district
['GJ-35']  Mahisagar district
['GJ-36']  Morbi district
['GJ-37']  Devbhoomi Dwarka district
['HP-01', 'HP-02']  Statewide (tourist buses & taxis)
['HP-03']  Shimla – Urban
['HP-04']  Dharamsala
['HP-05']  Mandi
['HP-06']  Rampur
['HP-07']  Shimla
['HP-08']  Chaupal
['HP-09']  Theog
['HP-10']  Rohru
['HP-11']  Arki
['HP-12']  Nalagarh
['HP-13']  Kandaghat
['HP-14']  Solan
['HP-15']  Parwanoo
['HP-16']  Rajgarh
['HP-17']  Paonta Sahib
['HP-18']  Nahan
['HP-19']  Amb
['HP-20']  Una
['HP-21']  Barsar, Hamirpur
['HP-22']  Hamirpur
['HP-23']  Ghumarwin
['HP-24']  Bilaspur
['HP-25']  Reckong Peo
['HP-26']  Nichar (Bhaba Nagar)
['HP-27']  Poo
['HP-28']  Sarkaghat
['HP-29']  Jogindernagar
['HP-30']  Karsog
['HP-31']  Sundernagar
['HP-32']  Gohar, Mandi
['HP-33']  Mandi
['HP-34']  Kullu
['HP-35']  Anni, Kullu
['HP-36']  Dehra
['HP-37']  Palampur
['HP-38']  Nurpur
['HP-39']  Dharamshala
['HP-40']  Kangra
['HP-41']  Kaza
['HP-42']  Keylong
['HP-43']  Udaipur
['HP-44']  Churah
['HP-45']  Pangi
['HP-46']  Bharmour
['HP-47']  Dalhousie
['HP-48']  Chamba
['HP-49']  Banjar
['HP-50']  Shimla (auto-rikshaws)
['HP-51', 'HP-52']  Shimla (urban)
['HP-53']  Baijnath
['HP-54']  Jawali
['HP-55']  Nadaun / Hamirpur
['HP-56']  Jaisinghpur
['HP-57']  Chowari
['HP-58']  Manali
['HP-59']  Solan
['HP-60']  Hamirpur
['HP-61']  Kullu
['HP-62', 'HP-63']  Shimla (rural)
['HP-64']  Solan
['HP-65']  Mandi
['HP-66']  Kullu
['HP-67']  Hamirpur
['HP-68']  Dharmsala
['HP-69', 'HP-70']  Bilaspur
['HP-71']  Nahan
['HP-72']  Una
['HP-73']  Chamba
['HP-74']  Bhoranj, Hamirpur
['HP-76']  Paddhar, Mandi
['HP-77']  Dodra Kawar, Shimla
['HP-78']  Bangana, Una
['HP-79']  Sangrah, Sirmaur
['HP-80']  Haroli, Una
['HP-81']  Salooni (Dist. Chamba)
['HP-82']  Mandi (rural)
['HP-83']  Jawalaji, Kangra
['HP-84']  Sujanpur Tihra, Hamirpur
['HP-85']  Shillai, Sirmaur
['HP-86']  Dharampur Distt Mandi
['HR-01']  Ambala tehsil
['HR-02']  NA
['HR-03']  NA
['HR-04']  Naraingarh tehsil
['HR-05']  NA
['HR-06']  NA
['HR-07']  NA
['HR-08']  NA
['HR-09']  NA
['HR-10']  NA
['HR-11']  NA
['HR-12']  NA
['HR-13']  Bahadurgarh tehsil
['HR-14']  Jhajjar tehsil, Matenhail tehsil
['HR-15']  NA
['HR-16']  Bhiwani tehsil
['HR-17']  Siwani tehsil
['HR-18']  Loharu tehsil
['HR-19']  Dadri tehsil
['HR-20']  Hisar tehsil
['HR-21']  Hansi tehsil
['HR-22']  Fatehabad tehsil
['HR-23']  Tohana tehsil
['HR-24']  NA
['HR-25']  NA
['HR-26']  NA
['HR-27']  NA
['HR-28']  NA
['HR-29']  Ballabgarh tehsil
['HR-30']  NA
['HR-31']  Jind tehsil, Julana tehsil
['HR-32']  Narwana tehsil
['HR-33']  Safidon tehsil
['HR-34']  NA
['HR-35']  NA
['HR-36']  NA
['HR-37']  Ambala tehsil
['HR-38']  Faridabad tehsil
['HR-39']  Hisar tehsil
['HR-40']  NA
['HR-41']  NA
['HR-42']  NA
['HR-43']  NA
['HR-44']  NA
['HR-45']  NA
['HR-46']  NA
['HR-47']  NA
['HR-48']  Tosham tehsil, Bawani Khera tehsil
['HR-49']  NA
['HR-50']  NA
['HR-51']  Faridabad tehsil
['HR-52']  NA
['HR-53']  Adampur tehsil
['HR-54']  NA
['HR-55']  NA
['HR-56']  Jind tehsil, Julana tehsil
['HR-57']  NA
['HR-58']  NA
